Symbol,Open,High,Low,Close,Volume,% Change
DRQ,38.85,44.06,38.8,43.35,1650600,17.58
OCN,2.18,2.22,2.07,2.2,1752800,15.18
CLH,66.14,69.07,65.0,68.07,1038100,13.43
CPB,34.05,36.49,33.16,36.21,11363400,10.03
IMAX,21.15,23.75,21.15,22.66,974800,8.73
NBR,2.97,3.34,2.82,3.29,23078400,7.17
SBGI,32.48,35.21,32.48,34.83,2561600,6.16
FRPT,39.29,42.0,36.01,40.07,839600,4.32
CW,119.34,125.94,119.34,124.26,661300,4.24
UA,19.47,20.19,19.38,20.08,4546100,3.67
MDR,8.7,9.04,8.6,8.86,5999600,2.9
MDCO,24.77,26.21,23.15,25.69,938900,2.72
BBVA,6.08,6.14,6.08,6.13,2892645,2.68
KSS,66.37,68.07,66.24,67.85,4092400,2.45
GE,10.83,10.93,10.64,10.88,108653487,2.06
BA,427.17,436.33,427.15,435.44,4503211,2.03
CNK,37.05,37.89,37.03,37.89,1443500,2.02
REGN,424.0,433.74,424.0,433.33,595800,1.68
BMY,50.0,51.14,49.95,50.96,16024423,1.59
EXEL,22.44,23.0,22.07,22.82,2805100,1.47
AIZ,99.27,100.88,99.1,100.87,500316,1.45
SJM,107.72,107.75,105.74,107.57,2033900,1.4
SPRT,2.43,2.46,2.38,2.4,3600,1.27
BR,100.44,102.11,99.79,102.06,1255725,1.19
SEE,43.76,44.32,43.59,44.13,1150700,0.89
RY,78.07,78.51,77.82,78.47,915900,0.68
VRTX,187.97,189.87,186.44,189.81,634200,0.47
AMZN,1628.18,1641.81,1615.1,1641.09,3108618,0.29
SDS,34.6,34.85,34.33,34.41,4100900,0.06
SH,28.22,28.33,28.12,28.15,3334500,0.04
GNTX,20.32,20.43,20.17,20.31,1409500,-0.1
TWM,15.02,15.08,14.83,14.86,1294400,-0.34
TZA,9.42,9.47,9.23,9.26,8770300,-0.54
SRTY,24.41,24.58,23.98,24.02,584400,-0.62
