,Symbol,Open,High,Low,Close,Volume,% Change,Updated_Price
0,GSM,2.42,2.99,2.42,2.77,10888300,26.48,2.0600
1,DDS,75.33,81.76,75.22,79.62,3671800,19.78,73.85
2,FCN,71.0,76.34,69.06,75.03,792500,10.11,75.28
3,CYD,16.84,18.47,16.82,18.34,72600,8.2,15.83
4,BCS,8.61,8.74,8.58,8.65,4025400,4.59,8.09
5,RCII,18.61,19.14,18.38,18.78,1824500,4.45,20.36
6,KEP,15.38,15.72,15.38,15.64,621700,3.78,13.82
7,ASX,4.05,4.14,4.05,4.13,769000,3.77,4.3200
8,LBTYA,25.25,26.62,25.18,26.3,3282900,3.71,25.43
9,MED,127.29,133.7,126.91,131.72,432200,3.28,132.18
10,SFL,12.38,13.28,12.38,12.87,1708060,3.04,12.26
11,UTHR,119.6,122.6,119.25,121.95,486401,1.74,119.26
12,GIL,35.38,35.84,35.38,35.79,839400,1.22,36.73
13,DUG,37.59,37.81,37.1,37.8,11900,0.99,35.72
14,ERY,41.73,42.09,40.95,42.04,134500,0.98,38.96
15,FAX,4.26,4.28,4.23,4.28,802400,0.94,4.2490
16,CS,12.17,12.28,12.14,12.19,3562500,0.91,11.33
17,COG,25.0,25.45,24.94,25.11,8721500,0.88,26.46
18,MA,222.16,225.18,222.05,225.1,2716400,0.8,232.96
19,PZA,25.16,25.23,25.15,25.23,290900,0.36,25.60
20,CHS,5.7,5.84,5.67,5.76,2609200,0.35,4.2200
21,SPXU,33.23,33.29,32.79,33.13,5746975,0.3,31.94
22,AGN,136.67,138.44,136.43,136.61,2902500,0.3,150.01
23,OMC,75.42,76.0,74.8,75.52,1816200,0.24,72.72
24,JNK,35.64,35.72,35.63,35.69,22391631,0.2,35.79
25,BSV,78.99,79.06,78.99,79.04,1795700,0.11,79.55
26,PXD,142.73,144.54,142.35,142.76,1885300,-0.12,142.62
27,DHF,3.07,3.08,3.04,3.06,188400,-0.33,3.0885
28,URBN,30.32,30.7,30.14,30.19,1076651,-0.4,28.14
29,AUO,3.61,3.62,3.59,3.59,1083500,-0.55,3.7000
30,SCO,19.68,19.85,19.37,19.59,1383268,-0.96,17.04
31,ARQL,3.55,3.56,3.46,3.48,451300,-2.25,5.03
32,CALX,8.43,8.46,8.01,8.24,635100,-2.72,7.66
